Date,Interval,Time,DeadGams,Notes,Revertgams,Newgams,deadgam18,revertgam18,newgam18,GroupSize,initpupae,Pupae,pupae_eighteen,eggs,larvae,NumGams,multigam,Treatment,SourceCol,PHOTO_YO,PHOTO_MATED,PHOTO_YB,cricket,headwidth_mm,,indcode,Colcode,Colony,Mark,Status_Scanobs,Duel,NumDuel,Antennaldrumming,Numantdrum,Recantdrum,Domperf,NumDomperf,Domrec,NumDomrec,Allogrooming,Recgrooming,WalkOver,NumWalkover,HandlePupae,Handlinglarv,Handlingoldeggs,BroodHandling,Outside,Time Outside
1/5/20,Twelve,Final,,,0,0,,,,12,31,46,,,,1,0,SP,F21,,,,,,,56,K,F21/1,BOB,W,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0
3/11/20,Twelve,Final,1,,0,0,,,,6,16,17,,,,4,1,IP,F21,2,0,1,,2.478,,60,L,F21/1A,OBO,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0
2/28/22,Eighteen,Final,,,0,0,0,0,0,53,3,14,28,100,27,3,1,SP,F30,12,1,1,0,2.889,,63,M,F30,GOG,G,4,19,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4/22/21,Eighteen,Final,,,0,0,0,0,0,13,46,62,118,70,9,8,1,IP,F32,4,0,1,,2.828,,71,N,F32,OPO,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/21,Eighteen,Final,,,1,0,0,1,0,21,9,42,59,16,7,2,1,SP,F32,0,1,1,1,2.579,,74,O,F32A,MYM,RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
4/14/20,Twelve,Final,1,,0,0,,,,13,1,38,,,,7,1,IP,F44,,,,,,,82,P,F44,YBY,G,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3/11/20,Twelve,Final,,,0,0,,,,5,22,42,,,,1,0,SP,F48,7,1,1,,2.814,,83,Q,F48,GPG,G,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
8/26/20,Twelve,Final,,,0,0,,,,14,15,48,,,,8,1,IP,F48,4,0,1,,,,91,R,F48A,GYG,G,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/20,Twelve,Final,,,0,0,,,,13,6,69,,,,8,1,IP,F97/1,,,,,,,100,S,F97/1,YOY,unclear,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0
9/12/20,Twelve,Final,,,0,0,,,,16,4,15,,,,10,1,IP,R017A,4,0,1,,,,110,T,R017A/2(16),PBP,G,2,6,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,,,0,0,,,,24,20,69,,,,2,1,SP,R15,6,1,1,,2.791,,112,U,R15A(118),YOY,G,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
8/28/20,Twelve,Final,1,,0,0,,,,8,1,17,,,,5,1,IP,R15,4,0,1,,,,117,V,R15A(118E),blue-orange,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/20,Twelve,Final,,,0,0,,,,10,1,19,,,,2,1,SP,R17,,,,,,,121,W,R17(24B),GOG,W,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0
9/18/20,Twelve,Final,,,0,0,,,,11,41,53,,,,7,1,IP,R1,5,1,1,,,,128,X,R1G/2 (18B),YOY,G,2,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0
10/2/20,Twelve,Final,,,0,0,,,,20,24,65,,,,2,1,SP,R1,5,1,1,,2.672,,129,Y,R1Q(2),GWG,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/10/21,Eighteen,Final,,,0,,1,0,1,6,56,61,117,3,0,0,0,SP,R22,,,,,,,,Z,R22G/1(49B),umw,NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,,,,129,5,5,,,,8,1,IP,47BC/2,,,,,,,,A,47BC/2,GOM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
10/4/19,Twelve,Initial,,,,,,,,60,7,7,,,,8,1,IP,R22,,,,,,,132,AA,R22G/1(49E),GOG,G,4,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4/14/21,Eighteen,Initial,,,,,,,,115,31,31,31,,,12,1,IP,R3,,,,,,,,AB,R3BA(3),YGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
1/20/22,Eighteen,Initial,,,,,,,,94,0,0,0,,,10,1,SP,R3,,,,,,,,AC,R3BA3A,BOM,G,11,260,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/19,Twelve,Initial,,,,,,,,84,1,1,,,,5,1,IP,R4,,,,,,,,AD,R4A(83),umw,W,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
12/17/19,Twelve,Initial,,,,,,,,127,11,11,,,,7,1,SP,R4,,,,,,,160,AE,R4A(83)B,PWB,G,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3/16/21,Eighteen,Initial,,,,,,,,92,21,21,21,,,10,1,IP,R5,,,,,,,,AF,R5(117C),BGB,W,0,0,0,0,0,0,0,0,0,1,2,2,2,3,0,0,3,1,0
1/28/21,Eighteen,Initial,,,,,,,,98,2,2,2,,,8,1,SP,109,,,,,,,,AG,RGB(109),POP,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
8/6/20,Twelve,Initial,,,,,,,,66,5,5,,,,5,1,IP,109,,,,,,,184,AH,RGB(109B),OPO,W,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,1,0
6/18/20,Twelve,Initial,,,,,,,,76,7,7,,,,6,1,SP,RL86BI2,,,,,,,186,AI,RL8.6B1(112B),B,W,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,6,0
1/20/22,Eighteen,Initial,,,,,,,,91,20,20,20,,,15,1,IP,RL86BI,,,,,,,,AJ,RL86B1(112C),umw,G,,,,,,,,,,,,,,,,,,,
8/31/21,Eighteen,Initial,,,,,,,,81,0,0,0,,,4,1,SP,RO16A/2,,,,,,,198,AK,RO16A/2(64C),WOW,G,4,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
